"game_str","play_per_game","top_bottom_inning","batter","first_baserunner","second_baserunner","third_baserunner"
"1903_04_TeamNC_TeamA1",7,"Top",6063,0,5654,0
"1903_04_TeamNC_TeamA1",8,"Top",6063,0,5654,0
"1903_04_TeamNC_TeamA1",9,"Top",4507,0,5654,0
"1903_04_TeamNC_TeamA1",10,"Top",4507,0,5654,0
"1903_04_TeamNC_TeamA1",11,"Top",4507,0,5654,0
"1903_07_TeamND_TeamA2",306,"Top",6902,6875,9465,0
"1903_07_TeamND_TeamA2",307,"Top",6851,0,6875,9465
"1903_07_TeamND_TeamA2",308,"Top",6851,0,6875,9465
"1903_07_TeamND_TeamA2",309,"Top",6851,0,6875,9465
"1903_07_TeamND_TeamA2",310,"Top",6851,0,6875,9465
"1903_07_TeamND_TeamA2",311,"Top",8032,0,6875,9465
"1903_07_TeamND_TeamA2",312,"Top",8032,0,6875,9465
"1903_07_TeamND_TeamA2",313,"Top",8032,0,6875,9465
"1903_07_TeamND_TeamA2",314,"Top",5177,0,8032,0
"1903_08_TeamNJ_TeamB",136,"Top",6266,3020,0,0
"1903_08_TeamNJ_TeamB",137,"Top",5410,6266,3020,0
"1903_08_TeamNJ_TeamB",138,"Top",5410,6266,3020,0
"1903_08_TeamNJ_TeamB",139,"Top",5410,6266,3020,0
"1903_08_TeamNJ_TeamB",140,"Top",5410,6266,3020,0
"1903_08_TeamNJ_TeamB",141,"Top",5410,6266,3020,0
"1903_08_TeamNJ_TeamB",142,"Top",5410,6266,3020,0
"1903_08_TeamNJ_TeamB",143,"Top",8169,6266,3020,0
"1903_08_TeamNJ_TeamB",144,"Top",8169,6266,3020,0
"1903_08_TeamNJ_TeamB",145,"Top",8169,6266,3020,0
"1903_08_TeamNJ_TeamB",146,"Top",8169,6266,3020,0
"1903_08_TeamNJ_TeamB",147,"Top",8169,6266,3020,0
"1903_08_TeamNJ_TeamB",148,"Top",8169,6266,3020,0
"1903_08_TeamNJ_TeamB",149,"Top",6764,0,0,0
"1903_08_TeamNJ_TeamB",150,"Top",6764,0,0,0
"1903_08_TeamNJ_TeamB",151,"Top",6764,0,0,0
"1903_08_TeamNJ_TeamB",152,"Top",6764,0,0,0
"1903_08_TeamNJ_TeamB",214,"Top",6878,8169,0,0
"1903_08_TeamNJ_TeamB",215,"Top",6764,0,8169,0
"1903_08_TeamNJ_TeamB",216,"Top",6764,0,8169,0
"1903_08_TeamNJ_TeamB",217,"Top",6764,0,8169,0
"1903_08_TeamNJ_TeamB",218,"Top",6764,0,8169,0
"1903_08_TeamNJ_TeamB",219,"Top",6764,0,8169,0
"1903_08_TeamNJ_TeamB",220,"Top",4557,0,6764,0
"1903_08_TeamNJ_TeamB",221,"Top",4557,0,6764,0
"1903_08_TeamNJ_TeamB",222,"Top",4557,0,6764,0
"1903_08_TeamNJ_TeamB",223,"Top",4557,0,6764,0
"1903_08_TeamNJ_TeamB",224,"Top",4557,0,6764,0
"1903_08_TeamNJ_TeamB",225,"Top",4557,0,6764,0
"1903_08_TeamNJ_TeamB",226,"Top",4557,0,6764,0
"1903_08_TeamNJ_TeamB",227,"Top",4557,0,6764,0
"1903_08_TeamNJ_TeamB",228,"Top",6201,3428,6764,0
"1903_08_TeamNJ_TeamB",229,"Top",6201,3428,6764,0
"1903_08_TeamNJ_TeamB",230,"Top",6201,3428,6764,0
"1903_08_TeamNJ_TeamB",231,"Top",6201,3428,6764,0
"1903_09_TeamNJ_TeamB",218,"Bottom",2619,2925,0,0
"1903_09_TeamNJ_TeamB",219,"Bottom",2235,0,2925,0
"1903_09_TeamNJ_TeamB",220,"Bottom",2235,0,2925,0
"1903_09_TeamNJ_TeamB",221,"Bottom",2235,0,2925,0
"1903_09_TeamNJ_TeamB",222,"Bottom",2235,0,2925,0
"1903_09_TeamNJ_TeamB",223,"Bottom",1144,0,2925,0
"1903_16_TeamNI_TeamA3",238,"Top",8020,8557,7293,0
"1903_16_TeamNI_TeamA3",239,"Top",9325,0,8557,7293
"1903_16_TeamNI_TeamA3",240,"Top",9325,0,8557,7293
"1903_16_TeamNI_TeamA3",241,"Top",9325,0,8557,7293
"1903_16_TeamNI_TeamA3",242,"Top",9325,0,8557,7293
"1903_16_TeamNI_TeamA3",243,"Top",6697,9325,8557,0
"1903_16_TeamNI_TeamA3",244,"Top",6697,9325,8557,0
"1903_16_TeamNI_TeamA3",245,"Top",6697,9325,8557,0
"1903_16_TeamNI_TeamA3",246,"Top",6697,9325,8557,0
"1903_16_TeamNI_TeamA3",247,"Top",7870,9325,8557,0
"1903_16_TeamNI_TeamA3",248,"Top",7870,9325,8557,0
"1903_16_TeamNI_TeamA3",249,"Top",7870,9325,8557,0
"1903_16_TeamNI_TeamA3",250,"Top",7870,9325,8557,0
"1903_16_TeamNI_TeamA3",251,"Top",7870,9325,8557,0
"1903_16_TeamNI_TeamA3",252,"Top",7870,9325,8557,0
"1903_22_TeamNA_TeamA1",84,"Top",8977,5478,0,0
"1903_22_TeamNA_TeamA1",85,"Top",9609,0,5478,0
"1903_22_TeamNA_TeamA1",86,"Top",9609,0,5478,0
"1903_25_TeamNK_TeamB",179,"Bottom",1918,2235,1144,0
"1903_25_TeamNK_TeamB",180,"Bottom",1080,1918,2235,1144
"1903_25_TeamNK_TeamB",181,"Bottom",2488,1080,0,2235
"1903_25_TeamNK_TeamB",182,"Bottom",2488,1080,0,2235
"1903_25_TeamNK_TeamB",183,"Bottom",2488,0,1080,2235
"1903_25_TeamNK_TeamB",184,"Bottom",2488,0,1080,2235
"1903_25_TeamNK_TeamB",185,"Bottom",2488,0,1080,2235
"1903_25_TeamNK_TeamB",186,"Bottom",1124,0,1080,2235
"1903_28_TeamNF_TeamA2",23,"Bottom",1751,1181,0,0
"1903_28_TeamNF_TeamA2",24,"Bottom",1557,0,1181,0
"1903_28_TeamNF_TeamA2",25,"Bottom",1557,0,1181,0
"1903_28_TeamNF_TeamA2",26,"Bottom",2382,0,0,0
"1903_28_TeamNF_TeamA2",27,"Bottom",2382,0,0,0
"1903_28_TeamNF_TeamA2",28,"Bottom",2837,0,0,0
"1903_28_TeamNF_TeamA2",29,"Bottom",2837,0,0,0
"1903_28_TeamNF_TeamA2",30,"Bottom",2837,0,0,0
"1903_28_TeamNF_TeamA2",31,"Bottom",2837,0,0,0
"1903_29_TeamNF_TeamA2",100,"Top",6689,4974,0,0
"1903_29_TeamNF_TeamA2",101,"Top",4454,0,4974,0
"1903_29_TeamNF_TeamA2",102,"Top",4454,0,4974,0
"1903_29_TeamNF_TeamA2",103,"Top",4728,4454,0,4974
"1903_29_TeamNF_TeamA2",104,"Top",4728,4454,0,4974
"1903_29_TeamNF_TeamA2",105,"Top",4728,4454,0,4974
"1903_29_TeamNF_TeamA2",106,"Top",4728,4454,0,4974
"1903_29_TeamNF_TeamA2",107,"Top",4728,4454,0,4974
"1903_29_TeamNF_TeamA2",108,"Top",4728,4454,0,4974
"1903_29_TeamNF_TeamA2",109,"Top",5719,0,4728,4454
"1903_29_TeamNF_TeamA2",110,"Top",5719,0,4728,4454
"1903_29_TeamNF_TeamA2",111,"Top",5719,0,4728,4454
"1903_29_TeamNF_TeamA2",112,"Top",5719,0,4728,4454
"1903_29_TeamNF_TeamA2",113,"Top",9780,0,4728,4454
"1903_29_TeamNF_TeamA2",114,"Top",9780,0,4728,4454
"1903_30_TeamNB_TeamA1",87,"Bottom",1771,1945,0,0
"1903_30_TeamNB_TeamA1",88,"Bottom",1286,0,1945,0
"1903_30_TeamNB_TeamA1",89,"Bottom",1286,0,1945,0
"1903_30_TeamNB_TeamA1",90,"Bottom",1286,0,1945,0
"1903_30_TeamNF_TeamA2",30,"Bottom",1181,1972,0,0
"1903_30_TeamNF_TeamA2",31,"Bottom",1557,0,1972,0
"1903_30_TeamNF_TeamA2",32,"Bottom",1557,0,1972,0
"1903_30_TeamNF_TeamA2",33,"Bottom",2790,0,0,1972
"1903_30_TeamNF_TeamA2",34,"Bottom",2837,0,2790,0
"1903_30_TeamNF_TeamA2",35,"Bottom",2837,0,2790,0
"1903_30_TeamNF_TeamA2",36,"Bottom",2837,0,2790,0
"1903_30_TeamNF_TeamA2",37,"Bottom",2837,0,2790,0
"1903_30_TeamNF_TeamA2",38,"Bottom",1751,2837,2790,0
"1903_30_TeamNF_TeamA2",39,"Bottom",1751,2837,2790,0
"1903_30_TeamNF_TeamA2",40,"Bottom",1751,2837,2790,0
"1903_30_TeamNF_TeamA2",242,"Top",3603,6689,0,0
"1903_30_TeamNF_TeamA2",243,"Top",7004,3603,0,0
"1903_30_TeamNF_TeamA2",244,"Top",0,0,7004,3603
"1903_30_TeamNF_TeamA2",245,"Top",5719,4454,7004,3603
"1903_30_TeamNF_TeamA2",246,"Top",5719,4454,7004,3603
"1903_30_TeamNF_TeamA2",247,"Top",4728,5719,4454,7004
"1903_30_TeamNF_TeamA2",248,"Top",4728,5719,0,4454
"1903_30_TeamNF_TeamA2",249,"Top",5524,5719,0,4454
"1903_30_TeamNF_TeamA2",250,"Top",5524,5719,0,4454
"1903_30_TeamNF_TeamA2",251,"Top",5524,5719,0,4454
"1903_30_TeamNF_TeamA2",252,"Top",5524,5719,0,4454
